car,move
T,-1
G,-1
T,-1
U,-1
G,-1
Q,-1
K,-1
S,-1
T,-1
K,-1
U,-1
K,-1
T,-1
S,-1
T,-1
S,-1
Q,-1
J,-1
L,1
L,1
M,-1
V,-1
M,-1
V,-1
R,-1
M,-1
L,-1
L,-1
R,-1
R,-1
N,1
X,-1
X,-1
H,1
H,1
C,1
I,-1
I,-1
P,-1
P,-1
I,-1
O,1
C,1
H,1
D,-1
X,1
X,1
P,-1
X,1
