car,move
C,-1
A,-1
D,-1
X,-1
A,-1
G,-1
F,1
B,-1
B,-1
G,-1
H,-1
F,1
K,-1
K,-1
L,-1
I,-1
L,-1
L,-1
I,-1
I,-1
K,1
X,1
X,1
K,1
F,-1
H,1
H,1
H,1
X,1
