car,move
B,1
A,-1
F,-1
G,-1
G,-1
G,-1
D,1
D,1
C,-1
H,-1
H,-1
M,1
M,1
S,-1
T,-1
U,-1
P,1
K,1
D,1
D,1
D,1
G,1
E,1
G,1
E,1
G,1
E,1
G,1
E,1
F,1
A,1
B,-1
I,-1
I,-1
X,-1
N,-1
N,-1
L,1
N,-1
N,-1
Q,-1
R,-1
O,1
J,1
X,1
X,1
X,1
X,1
X,1
X,1
X,1
