board, heuristic, beam size, states
6, h1, 10, 63
6, h2, 10, inf
6, h3, 10, inf
6, h1, 20, 33
6, h2, 20, 53
6, h3, 20, 50
6, h1, 50, 30
6, h2, 50, 34
6, h3, 50, 37
6, h1, 100, 31
6, h2, 100, 29
6, h3, 100, 36
6, h1, 150, 31
6, h2, 150, 29
6, h3, 150, 36
6, h1, 200, 31
6, h2, 200, 29
6, h3, 200, 31
6, h1, 250, 31
6, h2, 250, 29
6, h3, 250, 31
6, h1, 300, 31
6, h2, 300, 29
6, h3, 300, 31
6, h1, 400, 31
6, h2, 400, 29
6, h3, 400, 31
