board, heuristic, beam size, states
6, h1, 10, 271
6, h2, 10, 271
6, h3, 10, 271
6, h1, 20, 121
6, h2, 20, 121
6, h3, 20, 121
6, h1, 50, 38
6, h2, 50, 38
6, h3, 50, 38
6, h1, 100, 30
6, h2, 100, 30
6, h3, 100, 30
6, h1, 150, 30
6, h2, 150, 30
6, h3, 150, 30
6, h1, 200, 29
6, h2, 200, 29
6, h3, 200, 29
6, h1, 250, 29
6, h2, 250, 29
6, h3, 250, 29
