board, heuristic, beam size, states
6, h1, 10, inf
6, h2, 10, inf
6, h3, 10, inf
6, h1, 20, 177
6, h2, 20, 177
6, h3, 20, 177
6, h1, 50, 104
6, h2, 50, 104
6, h3, 50, 104
6, h1, 100, 88
6, h2, 100, 88
6, h3, 100, 88
6, h1, 150, 83
6, h2, 150, 83
6, h3, 150, 83
6, h1, 200, 83
6, h2, 200, 83
6, h3, 200, 83
6, h1, 250, 83
6, h2, 250, 83
6, h3, 250, 83
