board, heuristic, beam size, states
6, h1, 10, 50
6, h2, 10, 50
6, h3, 10, 50
6, h1, 20, 44
6, h2, 20, 44
6, h3, 20, 44
6, h1, 50, 37
6, h2, 50, 37
6, h3, 50, 37
6, h1, 100, 35
6, h2, 100, 35
6, h3, 100, 35
